((15.04 #$S6803.sll0005 "S6803.sll0005")
 (2.11 #$S6803.slr2131 "S6803.slr2131")
 (2.1 #$S6803.sll1770 "S6803.sll1770")
 (2.08 #$S6803.sll0815 "S6803.sll0815")
 (2.08 #$S6803.sll1621 "S6803.sll1621")
 (2.08 #$S6803.slr0364 "S6803.slr0364")
 (2.08 #$S6803.slr0960 "S6803.slr0960")
 (2.07 #$S6803.sll1071 "S6803.sll1071")
 (2.07 #$S6803.slr1413 "S6803.slr1413")
 (2.06 #$S6803.slr1192 "S6803.slr1192")
 (2.05 #$S6803.sll0522 "S6803.sll0522")
 (2.04 #$S6803.slr2031 "S6803.slr2031")
 (2.03 #$S6803.sll0086 "S6803.sll0086")
 (2.03 #$S6803.sll0520 "S6803.sll0520")
 (2.03 #$S6803.sll1680 "S6803.sll1680")
 (2.0 #$S6803.slr0399 "S6803.slr0399")
 (1.99 #$S6803.slr0075 "S6803.slr0075")
 (1.99 #$S6803.slr1311 "S6803.slr1311")
 (1.98 #$S6803.sll0312 "S6803.sll0312")
 (1.98 #$S6803.slr0286 "S6803.slr0286")
 (1.98 #$S6803.slr1903 "S6803.slr1903")
 (1.97 #$S6803.sll1101 "S6803.sll1101")
 (1.95 #$S6803.sll1001 "S6803.sll1001")
 (1.94 #$S6803.sll1715 "S6803.sll1715")
 (1.94 #$S6803.slr1293 "S6803.slr1293")
 (1.91 #$S6803.sll0938 "S6803.sll0938")
 (1.9 #$S6803.slr0423 "S6803.slr0423")
 (1.9 #$S6803.slr1135 "S6803.slr1135")
 (1.89 #$S6803.sll0817 "S6803.sll0817")
 (1.89 #$S6803.slr1392 "S6803.slr1392")
 (1.89 #$S6803.slr1455 "S6803.slr1455")
 (1.88 #$S6803.slr1463 "S6803.slr1463")
 (1.87 #$S6803.sll0428 "S6803.sll0428")
 (1.87 #$S6803.sll0808 "S6803.sll0808")
 (1.87 #$S6803.sll1106 "S6803.sll1106")
 (1.87 #$S6803.slr0077 "S6803.slr0077")
 (1.86 #$S6803.sll0415 "S6803.sll0415")
 (1.86 #$S6803.slr1894 "S6803.slr1894")
 (1.84 #$S6803.sll0898 "S6803.sll0898")
 (1.84 #$S6803.sll1395 "S6803.sll1395")
 (1.83 #$S6803.sll0249 "S6803.sll0249")
 (1.83 #$S6803.sll0262 "S6803.sll0262")
 (1.83 #$S6803.sll0688 "S6803.sll0688")
 (1.83 #$S6803.sll1019 "S6803.sll1019")
 (1.83 #$S6803.slr0742 "S6803.slr0742")
 (1.83 #$S6803.slr0969 "S6803.slr0969")
 (1.82 #$S6803.sll1558 "S6803.sll1558")
 (1.82 #$S6803.slr0487 "S6803.slr0487")
 (1.82 #$S6803.slr2121 "S6803.slr2121")
 (1.81 #$S6803.slr1243 "S6803.slr1243")
 (1.8 #$S6803.slr0220 "S6803.slr0220")
 (1.79 #$S6803.slr0401 "S6803.slr0401")
 (1.78 #$S6803.sll1041 "S6803.sll1041")
 (1.78 #$S6803.slr0014 "S6803.slr0014")
 (1.78 #$S6803.slr0626 "S6803.slr0626")
 (1.78 #$S6803.ssr3410 "S6803.ssr3410")
 (1.77 #$S6803.sll1562 "S6803.sll1562")
 (1.77 #$S6803.sll1799 "S6803.sll1799")
 (1.77 #$S6803.slr1165 "S6803.slr1165")
 (1.77 #$S6803.slr1908 "S6803.slr1908")
